event_id,home_team,away_team,competition,match_time,bookmaker,yes_odds,no_odds,odds_time
61300783,Fulham FC,Manchester City,England - Premier League,2025-12-03T03:30:00+08:00,Betfair Exchange,1.73,2.34,2025-12-02T21:19:21.636204+08:00
61300775,AFC Bournemouth,Everton FC,England - Premier League,2025-12-03T03:30:00+08:00,Betfair Exchange,1.76,2.26,2025-12-02T21:19:21.636204+08:00
61300787,Newcastle United,Tottenham Hotspur,England - Premier League,2025-12-03T04:15:00+08:00,Betfair Exchange,1.73,2.32,2025-12-02T21:19:21.636204+08:00
61300779,Brighton & Hove Albion,Aston Villa,England - Premier League,2025-12-04T03:30:00+08:00,Betfair Exchange,1.76,2.26,2025-12-02T21:19:21.636204+08:00
61300777,Arsenal FC,Brentford FC,England - Premier League,2025-12-04T03:30:00+08:00,Betfair Exchange,2.16,1.81,2025-12-02T21:19:21.636204+08:00
61300781,Burnley FC,Crystal Palace,England - Premier League,2025-12-04T03:30:00+08:00,Betfair Exchange,1.96,1.97,2025-12-02T21:19:21.636204+08:00
61300789,Wolverhampton Wanderers,Nottingham Forest,England - Premier League,2025-12-04T03:30:00+08:00,Betfair Exchange,1.91,2.02,2025-12-02T21:19:21.636204+08:00
61300785,Leeds United,Chelsea FC,England - Premier League,2025-12-04T04:15:00+08:00,Betfair Exchange,1.82,2.16,2025-12-02T21:19:21.636204+08:00
61300791,Liverpool FC,Sunderland AFC,England - Premier League,2025-12-04T04:15:00+08:00,Betfair Exchange,1.94,2.02,2025-12-02T21:19:21.636204+08:00
61300793,Manchester United,West Ham United,England - Premier League,2025-12-05T04:00:00+08:00,Betfair Exchange,1.75,2.24,2025-12-02T21:19:21.636204+08:00
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06T20:30:00+08:00,Betfair Exchange,1.89,1.98,2025-12-02T21:19:21.636204+08:00
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06T23:00:00+08:00,Betfair Exchange,1.84,1.92,2025-12-02T21:19:21.636204+08:00
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06T23:00:00+08:00,Betfair Exchange,2.06,1.79,2025-12-02T21:19:21.636204+08:00
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06T23:00:00+08:00,Betfair Exchange,2.06,1.80,2025-12-02T21:19:21.636204+08:00
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06T23:00:00+08:00,Betfair Exchange,1.66,2.24,2025-12-02T21:19:21.636204+08:00
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06T23:00:00+08:00,Betfair Exchange,1.59,2.44,2025-12-02T21:19:21.636204+08:00
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07T01:30:00+08:00,Betfair Exchange,1.66,2.28,2025-12-02T21:19:21.636204+08:00
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07T22:00:00+08:00,Betfair Exchange,1.74,2.14,2025-12-02T21:19:21.636204+08:00
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08T00:30:00+08:00,Betfair Exchange,1.78,2.06,2025-12-02T21:19:21.636204+08:00
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09T04:00:00+08:00,Betfair Exchange,1.69,2.20,2025-12-02T21:19:21.636204+08:00
