event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds,Bet365_under_odds,Betfair_Exchange_over_odds,Betfair_Exchange_under_odds,Over RPD,Under RPD,bf_team_name_home,bf_team_name_away,bf_merge_key,marketId,line,total_volume,event,kickoff,hours_until_KO
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.166,5.000,1.16,3.49,1.0,1.0,Liverpool,Brighton,Liverpool v Brighton,,,,,,169.3734711636111
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.24,3.01,1.0,1.0,Chelsea,Everton,Chelsea v Everton,,,,,,169.3734711636111
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.333,3.400,1.29,2.87,1.0,1.0,Burnley,Fulham,Burnley v Fulham,,,,,,171.8734711636111
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.222,4.333,1.19,3.49,1.0,1.0,Arsenal,Wolves,Arsenal v Wolves,,,,,,174.3734711636111
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.25,2.76,1.0,1.0,Nottm Forest,Tottenham,Nottm Forest v Tottenham,,,,,,192.3734711636111
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.222,4.333,1.05,1.26,1.0,1.0,Crystal Palace,Man City,Crystal Palace v Man City,,,,,,192.3734711636111
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.250,4.000,1.22,2.98,1.0,1.0,West Ham,Aston Villa,West Ham v Aston Villa,,,,,,192.3734711636111
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.300,3.500,1.27,2.90,1.0,1.0,Sunderland,Newcastle,Sunderland v Newcastle,,,,,,192.3734711636111
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.26,2.66,1.0,1.0,Brentford,Leeds,Brentford v Leeds,,,,,,194.8734711636111
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.166,5.000,1.16,3.49,1.0,1.0,Man Utd,Bournemouth,Man Utd v Bournemouth,,,,,,222.3734711636111
