event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds,Bet365_under_odds,Betfair_Exchange_over_odds,Betfair_Exchange_under_odds,Over RPD,Under RPD,bf_team_name_home,bf_team_name_away,bf_merge_key,marketId,line,total_volume,event,kickoff,hours_until_KO
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06 20:30:00+08:00,2025-12-06 21:31:36.992163+08:00,,,5.2,1.23,,,Aston Villa,Arsenal,Aston Villa v Arsenal,1.251156074,Over/Under 3.5 Goals,247450.266944,Aston Villa v Arsenal,2025-12-06T12:30:00.000Z,-1.0269422675
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,2.5,1.533,2.62,1.59,4.688,3.65,Bournemouth,Chelsea,Bournemouth v Chelsea,1.251156213,Over/Under 3.5 Goals,3017.803712,Bournemouth v Chelsea,2025-12-06T15:00:00.000Z,1.4730577325
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,3.75,1.285,4.33,1.29,14.356,1.0,Everton,Nottm Forest,Everton v Nottm Forest,1.25115663,Over/Under 3.5 Goals,1367.934218,Everton v Nottm Forest,2025-12-06T15:00:00.000Z,1.4730577325
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,2.625,1.5,2.86,1.52,8.569,1.325,Newcastle,Burnley,Newcastle v Burnley,1.251156491,Over/Under 3.5 Goals,2924.481168,Newcastle v Burnley,2025-12-06T15:00:00.000Z,1.4730577325
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,2.3,1.615,2.44,1.67,5.907,3.349,Man City,Sunderland,Man City v Sunderland,1.251155796,Over/Under 3.5 Goals,7169.3719280000005,Man City v Sunderland,2025-12-06T15:00:00.000Z,1.4730577325
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,3.4,1.333,3.5,1.38,2.899,3.465,Tottenham,Brentford,Tottenham v Brentford,1.251157047,Over/Under 3.5 Goals,13894.096468000002,Tottenham v Brentford,2025-12-06T15:00:00.000Z,1.4730577325
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07 01:30:00+08:00,2025-12-06 21:31:36.992163+08:00,3.0,1.4,3.15,1.45,4.878,3.509,Leeds,Liverpool,Leeds v Liverpool,1.251156908,Over/Under 3.5 Goals,6680.15138,Leeds v Liverpool,2025-12-06T17:30:00.000Z,3.9730577324999996
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.625,1.500,2.68,1.57,2.074,4.56,Brighton,West Ham,Brighton v West Ham,1.251155935,Over/Under 3.5 Goals,117.396066,Brighton v West Ham,2025-12-07T14:00:00.000Z,24.37347116361111
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,3.750,1.285,4.00,1.31,6.452,1.927,Fulham,Crystal Palace,Fulham v Crystal Palace,1.251156352,Over/Under 3.5 Goals,26.824208,Fulham v Crystal Palace,2025-12-07T16:30:00.000Z,26.87347116361111
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.750,1.444,2.88,1.50,4.618,3.804,Wolves,Man Utd,Wolves v Man Utd,1.251156769,Over/Under 3.5 Goals,0.0,Wolves v Man Utd,2025-12-08T20:00:00.000Z,54.37347116361111
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.375,1.571,1.96,1.50,1.0,1.0,Liverpool,Brighton,Liverpool v Brighton,,,,,,169.3734711636111
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,3.200,1.363,2.56,1.31,1.0,1.0,Chelsea,Everton,Chelsea v Everton,,,,,,169.3734711636111
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-06 21:37:35.503811+08:00,3.750,1.285,2.92,1.26,1.0,1.0,Burnley,Fulham,Burnley v Fulham,,,,,,171.8734711636111
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.750,1.444,2.20,1.40,1.0,1.0,Arsenal,Wolves,Arsenal v Wolves,,,,,,174.3734711636111
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,3.200,1.363,2.56,1.31,1.0,1.0,Nottm Forest,Tottenham,Nottm Forest v Tottenham,,,,,,192.3734711636111
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.750,1.444,1.06,,1.0,,Crystal Palace,Man City,Crystal Palace v Man City,,,,,,192.3734711636111
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,3.000,1.400,2.40,1.34,1.0,1.0,West Ham,Aston Villa,West Ham v Aston Villa,,,,,,192.3734711636111
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,3.400,1.333,2.75,1.28,1.0,1.0,Sunderland,Newcastle,Sunderland v Newcastle,,,,,,192.3734711636111
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,3.400,1.333,2.66,1.29,1.0,1.0,Brentford,Leeds,Brentford v Leeds,,,,,,194.8734711636111
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,2.375,1.571,1.99,1.48,1.0,1.0,Man Utd,Bournemouth,Man Utd v Bournemouth,,,,,,222.3734711636111
