home_team,away_team,competition,match_time,odds_time,Bet365_over_odds_3.5,Bet365_under_odds_3.5,Betfair_Exchange_over_odds_3.5,Betfair_Exchange_under_odds_3.5,Over RPD,Under RPD,hours_until_KO
AFC Bournemouth,Everton FC,England - Premier League,2025-12-03T03:30:00+08:00,2025-12-02T21:15:48.639437+08:00,3.2,1.363,3.45,1.39,7.519,1.961,6.236489045277778
Fulham FC,Manchester City,England - Premier League,2025-12-03T03:30:00+08:00,2025-12-02T21:15:48.639437+08:00,2.625,1.5,2.82,1.53,7.163,1.98,6.236489045277778
Newcastle United,Tottenham Hotspur,England - Premier League,2025-12-03T04:15:00+08:00,2025-12-02T21:15:48.639437+08:00,2.75,1.444,3.05,1.48,10.345,2.462,6.986489045277778
Arsenal FC,Brentford FC,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.0,1.4,3.06,1.45,1.98,3.509,30.17732327666667
Burnley FC,Crystal Palace,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.75,1.285,3.8,1.34,1.325,4.19,30.17732327666667
Brighton & Hove Albion,Aston Villa,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.2,1.363,3.32,1.4,3.681,2.678,30.17732327666667
Wolverhampton Wanderers,Nottingham Forest,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.75,1.285,4.03,1.31,7.198,1.927,30.17732327666667
Leeds United,Chelsea FC,England - Premier League,2025-12-04T04:15:00+08:00,2025-12-02T21:19:21.636204+08:00,3.2,1.363,3.25,1.42,1.55,4.096,30.92732327666667
Liverpool FC,Sunderland AFC,England - Premier League,2025-12-04T04:15:00+08:00,2025-12-02T21:19:21.636204+08:00,2.375,1.571,2.53,1.63,6.32,3.686,30.92732327666667
Manchester United,West Ham United,England - Premier League,2025-12-05T04:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.3,1.615,2.42,1.67,5.085,3.349,54.67732327666666
Aston Villa,Arsenal FC,England - Premier League,2025-12-06T20:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.75,1.285,3.31,1.26,1.0,1.0,95.17732327666667
AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.625,1.5,2.11,1.43,1.0,1.0,97.67732327666667
Everton FC,Nottingham Forest,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,3.75,1.285,2.83,1.23,1.0,1.0,97.67732327666667
Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,3.0,1.4,2.35,1.36,1.0,1.0,97.67732327666667
Newcastle United,Burnley FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.5,1.533,2.07,1.46,1.0,1.0,97.67732327666667
Manchester City,Sunderland AFC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.3,1.615,2.09,1.55,1.0,1.0,97.67732327666667
Leeds United,Liverpool FC,England - Premier League,2025-12-07T01:30:00+08:00,2025-12-02T21:19:21.636204+08:00,2.625,1.5,2.34,1.44,1.0,1.0,100.17732327666667
Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07T22:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.625,1.5,2.37,1.43,1.0,1.0,120.67732327666667
Fulham FC,Crystal Palace,England - Premier League,2025-12-08T00:30:00+08:00,2025-12-02T21:19:21.636204+08:00,3.75,1.285,3.32,1.25,1.0,1.0,123.17732327666667
Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09T04:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.75,1.444,2.25,1.39,1.0,1.0,150.67732327666667
