rank,train_profit,train_roi_pct,train_n_bets,train_win_rate_pct,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
baseline,-94.6,-17.49,499,28.06,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,45.79,44.46,103,39.81,200.0,400.0,1.35,2.2,3.5,0.5,1.1,5.2,7.5,6.4,0.7,3
2,45.79,44.46,103,39.81,200.0,400.0,1.3,2.15,3.5,0.6,1.1,5.300000000000001,7.6000000000000005,6.5,0.6,3
3,45.79,44.46,103,39.81,200.0,400.0,1.35,2.15,3.5,0.6,1.2,5.300000000000001,7.5,6.2,0.6,3
4,45.79,44.46,103,39.81,200.0,400.0,1.35,2.15,3.5,0.5,1.1,5.300000000000001,7.4,5.800000000000001,0.7,3
5,53.95,44.22,122,40.16,200.0,450.0,1.25,2.15,3.5,0.5,1.1,5.4,7.4,6.6,0.9,3
6,53.95,44.22,122,40.16,200.0,450.0,1.3,2.2,3.5,0.6,1.3,5.5,7.4,6.2,0.7,3
7,53.95,44.22,122,40.16,200.0,450.0,1.25,2.15,3.5,0.6,1.1,5.300000000000001,7.6000000000000005,6.0,0.6,3
8,44.79,43.07,104,39.42,200.0,400.0,1.35,2.15,3.5,0.6,1.0,5.6,7.4,6.4,0.8,3
9,52.95,43.05,123,39.84,200.0,450.0,1.3,2.15,3.5,0.5,1.0,5.4,7.3,6.4,0.8,3
10,52.95,43.05,123,39.84,200.0,450.0,1.3,2.2,3.5,0.5,1.0,5.6,7.5,6.300000000000001,0.8,3
11,52.95,43.05,123,39.84,200.0,450.0,1.3,2.15,3.5,0.5,1.3,5.7,7.4,6.5,0.6,3
12,45.61,43.03,106,39.62,195.0,400.0,1.3,2.15,3.5,0.5,1.1,5.300000000000001,7.6000000000000005,6.300000000000001,0.6,3
13,45.61,43.03,106,39.62,195.0,400.0,1.35,2.15,3.5,0.6,1.2,5.2,7.5,5.9,0.6,3
14,45.61,43.03,106,39.62,195.0,400.0,1.25,2.15,3.5,0.7,1.3,5.5,7.7,6.1,0.5,3
15,45.61,43.03,106,39.62,195.0,400.0,1.3,2.2,3.5,0.5,1.0,5.4,7.6000000000000005,6.4,0.5,3
16,45.61,43.03,106,39.62,195.0,400.0,1.3,2.2,3.5,0.5,1.1,5.2,7.5,6.2,0.5,3
17,53.76,43.01,125,40.0,195.0,450.0,1.3,2.15,3.5,0.6,1.1,5.5,7.4,6.5,0.9,3
18,53.76,43.01,125,40.0,195.0,450.0,1.35,2.2,3.5,0.5,1.1,5.2,7.4,6.5,0.7,3
19,53.76,43.01,125,40.0,195.0,450.0,1.35,2.2,3.5,0.5,1.1,5.4,7.7,6.6,0.6,3
20,51.12,42.25,121,39.67,200.0,450.0,1.3,2.15,3.5,0.6,1.2,5.1,7.5,6.4,0.7,3
