rank,train_profit,train_roi_pct,train_n_bets,train_win_rate_pct,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
baseline,138.55,21.72,598,49.0,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,232.67,8.39,2631,55.57,40.0,1125.0,1.25,1.6,2.8,2.9000000000000004,4.0,5.300000000000001,3.0,6.300000000000001,1.0,2
2,227.09,9.12,2382,54.41,40.0,1075.0,1.3,1.5,3.1,2.9000000000000004,3.3000000000000003,5.7,3.1,6.1,1.0,2
3,226.29,11.39,1929,50.65,40.0,1025.0,1.45,1.5,2.75,3.0,3.6,5.5,3.1,6.300000000000001,1.0,2
4,225.58,8.54,2524,54.32,40.0,1100.0,1.3,1.55,2.8,2.9000000000000004,4.1,5.2,3.0,6.4,1.0,2
5,220.32,8.89,2374,54.04,40.0,1050.0,1.3,1.55,2.8,2.8000000000000003,4.1,5.300000000000001,3.0,6.6,1.0,2
6,220.11,8.38,2513,54.36,40.0,1125.0,1.3,1.5,2.7,3.0,3.7,5.4,3.1,6.0,1.0,2
7,219.54,9.27,2273,53.54,40.0,1075.0,1.3,1.55,3.0,2.8000000000000003,3.3000000000000003,5.800000000000001,3.0,6.0,1.0,2
8,218.17,8.56,2441,53.75,40.0,1150.0,1.3,1.55,2.75,2.9000000000000004,3.5,5.800000000000001,3.0,6.4,1.0,2
9,217.79,8.47,2455,53.28,40.0,1100.0,1.35,1.5,2.75,3.0,4.2,5.2,3.1,6.4,1.0,2
10,217.62,8.3,2494,54.49,40.0,1150.0,1.25,1.6,2.8,2.7,4.0,4.9,3.0,6.6,1.0,2
11,217.04,9.0,2312,53.33,40.0,1125.0,1.3,1.55,2.85,2.8000000000000003,3.6,6.2,3.1,6.300000000000001,1.0,2
12,216.24,8.37,2472,54.25,40.0,1100.0,1.3,1.5,2.7,3.0,3.5,5.4,3.1,6.4,1.0,2
13,214.72,9.34,2202,52.63,40.0,1025.0,1.35,1.5,2.8,2.9000000000000004,3.4000000000000004,5.300000000000001,3.0,6.300000000000001,1.0,2
14,214.58,8.56,2396,54.92,40.0,1225.0,1.3,1.8,3.05,3.0,3.0,3.8,3.1,6.300000000000001,1.0,2
15,214.55,9.03,2281,53.53,40.0,1050.0,1.3,1.55,2.8,2.8000000000000003,3.7,5.9,3.0,6.4,1.0,2
16,214.41,9.5,2167,50.99,40.0,1100.0,1.4,1.5,2.8,2.9000000000000004,3.7,5.6,3.0,6.5,1.0,2
17,214.18,9.65,2129,52.04,40.0,1025.0,1.35,1.5,3.05,2.8000000000000003,3.7,5.2,3.0,6.1,1.0,2
18,214.17,9.45,2173,51.73,40.0,1075.0,1.35,1.5,2.75,2.8000000000000003,3.7,6.1000000000000005,3.1,6.300000000000001,1.0,2
19,213.35,8.25,2459,54.7,40.0,1150.0,1.25,1.6,2.85,2.7,4.0,4.7,3.1,6.6,1.0,2
20,212.88,8.86,2304,53.34,40.0,1100.0,1.3,1.55,3.0,2.8000000000000003,3.7,5.300000000000001,3.1,6.300000000000001,1.0,2
