rank,train_profit,train_roi_pct,train_n_bets,train_win_rate_pct,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
baseline,138.55,21.72,598,49.0,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,57.55,43.93,131,45.04,175.0,425.0,1.0,1.8,3.25,0.8,1.5,4.5,7.9,7.9,1.2000000000000002,3
2,57.46,42.56,135,45.19,175.0,425.0,1.0,1.85,3.1500000000000004,0.9,1.6,4.5,7.7,7.7,1.2000000000000002,3
3,55.1,42.39,130,44.62,175.0,425.0,1.0,1.85,3.1500000000000004,0.9,1.4,4.300000000000001,8.0,7.7,1.2000000000000002,3
4,55.26,42.18,131,45.04,180.0,425.0,1.0,1.8,3.25,0.8,1.5,4.5,7.4,8.0,0.5,2
5,55.17,42.11,131,45.04,180.0,425.0,1.05,1.9,3.1500000000000004,0.7,1.6,4.5,7.9,7.7,1.6,3
6,55.17,42.11,131,45.04,180.0,425.0,1.0,1.85,3.2,0.8,1.6,4.5,7.9,8.0,1.4,3
7,55.17,42.11,131,45.04,180.0,425.0,1.0,1.85,3.25,0.8,1.6,4.4,7.9,7.7,1.2000000000000002,3
8,54.26,41.74,130,44.62,180.0,425.0,1.0,1.85,3.2,0.8,1.5,4.5,7.9,7.9,1.4,3
9,54.26,41.74,130,44.62,180.0,425.0,1.0,1.85,3.25,0.7,1.4,4.7,7.9,7.800000000000001,1.3,3
10,54.26,41.74,130,44.62,185.0,425.0,1.0,1.85,3.25,0.8,1.5,4.7,7.9,8.0,1.2000000000000002,3
11,56.46,41.52,136,44.85,175.0,425.0,1.0,1.85,3.25,0.9,1.6,4.6,7.800000000000001,8.0,1.8,2
12,52.71,41.5,127,44.88,180.0,425.0,1.0,1.85,3.35,0.8,1.6,4.4,7.9,7.7,1.2000000000000002,3
13,54.76,41.48,132,43.94,175.0,425.0,1.6,1.95,3.1,0.6,1.2,4.4,7.5,7.4,0.5,2
14,55.17,41.48,133,45.11,180.0,425.0,1.0,1.85,3.25,0.7,1.6,4.5,7.6000000000000005,7.800000000000001,1.9000000000000001,3
15,54.35,41.17,132,45.45,185.0,425.0,1.0,1.8,3.2,0.8,1.8,4.2,8.0,7.800000000000001,1.7000000000000002,3
16,55.55,41.15,135,44.44,175.0,425.0,1.0,1.85,3.2,0.8,1.5,4.6,7.7,8.0,0.6,2
17,54.26,41.1,132,44.7,180.0,425.0,1.0,1.9,3.2,0.8,1.3,4.4,7.5,7.800000000000001,0.5,2
18,54.26,41.1,132,44.7,180.0,425.0,1.0,1.85,3.25,0.8,1.5,4.6,7.7,7.7,0.5,2
19,54.26,41.1,132,44.7,180.0,425.0,1.0,1.8,3.2,0.9,1.5,4.4,7.7,7.9,0.6,2
20,54.26,41.1,132,44.7,180.0,425.0,1.0,1.85,3.2,0.8,1.5,4.4,7.7,7.9,1.5,3
