rank,train_profit,train_roi_pct,train_n_bets,train_win_rate_pct,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
baseline,138.55,21.72,598,49.0,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,147.66,10.15,1370,49.56,50.0,1375.0,1.35,1.9,2.6,2.5,3.9000000000000004,5.4,4.8,4.4,1.0,2
2,143.68,9.59,1411,49.47,45.0,1375.0,1.35,1.9,2.55,2.5,3.9000000000000004,5.5,4.7,4.5,1.0,2
3,136.86,8.67,1579,58.07,55.0,1100.0,1.25,1.65,2.75,2.8000000000000003,3.8000000000000003,5.7,4.9,5.6,1.2000000000000002,2
4,136.43,10.25,1247,50.76,40.0,1750.0,1.4,1.9,2.5,2.8000000000000003,2.5,3.4000000000000004,5.1,4.3,1.0,2
5,134.38,11.16,1204,55.48,85.0,1025.0,1.25,1.65,2.75,2.3,3.2,6.9,4.8,6.6,1.2000000000000002,2
6,132.75,10.14,1221,50.53,40.0,1850.0,1.4,1.9,2.5,2.8000000000000003,2.6,3.6,5.300000000000001,4.3,1.0,2
7,132.38,9.63,1375,56.51,90.0,1025.0,1.25,1.6,3.0,2.4000000000000004,3.8000000000000003,5.7,4.8,4.5,1.1,2
8,131.82,8.61,1531,58.72,85.0,1150.0,1.25,1.7,2.85,3.0,3.7,6.9,4.9,4.6,1.4,2
9,123.67,8.46,1462,56.16,70.0,1475.0,1.3,2.05,2.65,2.9000000000000004,2.5,6.1000000000000005,5.0,4.7,0.6,2
10,118.2,11.69,1011,53.21,55.0,1025.0,1.35,1.6,3.05,2.3,3.8000000000000003,5.7,5.6,5.6,1.1,2
11,116.56,6.12,1904,59.35,25.0,1550.0,1.25,1.65,2.8,3.0,2.9000000000000004,8.0,5.2,7.1000000000000005,1.3,2
12,115.6,10.03,1153,45.97,75.0,750.0,1.5,1.75,2.4,1.9000000000000001,1.5,6.800000000000001,3.3,8.0,1.7000000000000002,2
13,111.86,7.07,1582,51.71,35.0,1825.0,1.4,1.8,2.65,2.9000000000000004,3.9000000000000004,3.2,4.6,4.5,0.9,2
14,110.48,7.59,1456,47.12,110.0,1250.0,1.3,1.9,2.5,1.8,2.9000000000000004,6.6000000000000005,3.6,4.3,1.2000000000000002,2
15,108.72,11.95,910,45.38,15.0,725.0,1.5,1.8,2.4,1.5,3.6,7.0,4.7,6.5,0.5,2
16,107.87,7.03,1534,54.17,140.0,1225.0,1.3,1.75,2.85,3.0,4.5,6.3,4.2,4.9,1.4,2
17,106.88,5.33,2004,43.36,50.0,1400.0,1.35,1.9,2.65,2.6,4.1,5.4,4.5,3.3,0.9,2
18,102.85,5.81,1769,52.74,50.0,2000.0,1.25,2.1,2.9,2.3,2.1,5.5,4.4,5.5,1.1,2
19,102.68,7.77,1322,48.34,80.0,1450.0,1.3,1.85,2.75,1.9000000000000001,4.0,6.0,4.4,6.2,1.2000000000000002,2
20,101.56,8.53,1190,48.66,15.0,600.0,1.45,2.0,2.55,2.7,4.300000000000001,5.0,4.1,4.9,0.8,2
