window,train_end,test_start,test_end,config,test_bets,test_profit,test_roi,train_bets,train_profit,train_roi,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
1,2025-12-05,2025-12-06,2026-01-04,baseline,125,65.62,47.9,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,2025-12-05,2025-12-06,2026-01-04,rank_1,474,39.16,8.12,1171,136.41,11.56,50.0,1725.0,1.3,1.6,2.45,2.6,4.2,6.4,3.6,4.1,1.0,3
1,2025-12-05,2025-12-06,2026-01-04,rank_2,441,69.71,15.42,1093,132.87,12.05,40.0,1900.0,1.3,1.7,2.5,2.5,4.1,6.9,3.7,4.5,1.0,3
1,2025-12-05,2025-12-06,2026-01-04,rank_3,478,71.02,14.46,1201,132.36,10.93,40.0,1925.0,1.25,1.65,2.3,2.5,4.2,6.800000000000001,3.8,4.4,1.0,3
1,2025-12-05,2025-12-06,2026-01-04,rank_4,472,39.51,8.23,1163,132.26,11.28,50.0,1700.0,1.3,1.6,2.45,2.6,4.2,6.5,3.6,4.1,1.0,3
1,2025-12-05,2025-12-06,2026-01-04,rank_5,470,37.91,7.93,1169,132.12,11.21,45.0,1725.0,1.3,1.6,2.45,2.6,4.1,6.4,3.6,4.2,1.0,3
2,2026-01-04,2026-01-05,2026-02-03,baseline,98,-17.08,-15.82,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
2,2026-01-04,2026-01-05,2026-02-03,rank_1,361,-17.76,-4.55,1465,204.16,13.24,55.0,1600.0,1.25,1.75,2.45,2.9000000000000004,3.5,7.6000000000000005,4.2,6.800000000000001,1.0,2
2,2026-01-04,2026-01-05,2026-02-03,rank_2,359,-27.05,-6.94,1473,203.34,13.13,50.0,1550.0,1.25,1.75,2.35,2.9000000000000004,3.5,7.4,4.2,7.0,1.0,2
2,2026-01-04,2026-01-05,2026-02-03,rank_3,353,-27.11,-7.1,1462,200.57,13.06,45.0,1600.0,1.25,1.75,2.3,2.8000000000000003,3.6,7.1000000000000005,4.2,7.4,1.0,2
2,2026-01-04,2026-01-05,2026-02-03,rank_4,358,-16.17,-4.18,1502,200.15,12.66,50.0,1275.0,1.1,1.75,2.9,3.0,2.8,7.5,4.2,6.800000000000001,1.0,2
2,2026-01-04,2026-01-05,2026-02-03,rank_5,405,-31.93,-7.24,1596,199.83,11.9,50.0,1650.0,1.15,1.75,2.9,3.0,2.9000000000000004,7.9,4.2,6.800000000000001,1.0,2
3,2026-02-03,2026-02-04,2026-03-05,baseline,108,15.83,13.89,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
3,2026-02-03,2026-02-04,2026-03-05,rank_1,277,-8.23,-2.97,1332,184.23,13.83,45.0,775.0,1.3,1.65,2.4,2.8000000000000003,4.1,3.3,4.2,4.2,1.3,3
3,2026-02-03,2026-02-04,2026-03-05,rank_2,315,-12.7,-4.03,1486,183.7,12.36,40.0,825.0,1.3,1.65,2.5,2.8000000000000003,4.2,3.2,4.2,4.0,1.5,3
3,2026-02-03,2026-02-04,2026-03-05,rank_3,323,-12.48,-3.86,1571,182.0,11.59,40.0,825.0,1.25,1.6,2.35,2.8000000000000003,4.1,3.5,4.2,4.2,1.6,3
3,2026-02-03,2026-02-04,2026-03-05,rank_4,424,4.11,0.96,1938,181.84,9.29,10.0,750.0,1.3,1.75,2.7,2.9000000000000004,4.1,3.5,3.3,4.0,1.0,3
3,2026-02-03,2026-02-04,2026-03-05,rank_5,309,-14.81,-4.79,1515,180.09,11.89,40.0,850.0,1.25,1.6,2.2,2.8000000000000003,3.9000000000000004,3.3,4.2,4.4,1.6,3
4,2026-03-05,2026-03-06,2026-04-04,baseline,73,20.08,24.79,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
4,2026-03-05,2026-03-06,2026-04-04,rank_1,326,-1.87,-0.54,2667,209.58,7.46,40.0,1275.0,1.0,1.7,3.1500000000000004,3.0,1.1,3.3,3.1,6.0,1.0,2
4,2026-03-05,2026-03-06,2026-04-04,rank_2,323,-1.17,-0.34,2620,209.45,7.59,40.0,1250.0,1.0,1.75,3.1,2.9000000000000004,1.1,3.6,3.0,6.2,1.0,2
4,2026-03-05,2026-03-06,2026-04-04,rank_3,316,-2.61,-0.78,2579,208.47,7.67,40.0,1225.0,1.0,1.7,3.1500000000000004,2.9000000000000004,1.2,3.6,3.1,5.800000000000001,1.0,2
4,2026-03-05,2026-03-06,2026-04-04,rank_4,155,-0.69,-0.41,1437,202.28,12.91,40.0,1250.0,1.25,1.75,3.1,3.0,1.5,7.5,6.4,6.300000000000001,1.0,2
4,2026-03-05,2026-03-06,2026-04-04,rank_5,306,-3.35,-1.03,2513,202.28,7.66,40.0,1250.0,1.0,1.75,3.05,2.8000000000000003,1.0,3.5,3.1,5.800000000000001,1.0,2
