event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds_2.5,Bet365_under_odds_2.5,Betfair_Exchange_over_odds_2.5,Betfair_Exchange_under_odds_2.5,Over RPD,Under RPD
61300733,AFC Bournemouth,West Ham United,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.666,2.2,1.75,1.25,4.918,1.0
61300735,Arsenal FC,Tottenham Hotspur,England - Premier League,2025-11-24 00:30:00+08:00,2025-11-11 21:55:56,1.727,2.1,1.81,2.16,4.693,2.817
61300737,Brighton & Hove Albion,Brentford FC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.727,2.1,1.7,2.28,1.0,8.219
61300739,Burnley FC,Chelsea FC,England - Premier League,2025-11-22 20:30:00+08:00,2025-11-11 21:55:56,1.8,2.0,1.07,1.25,1.0,1.0
61300741,Fulham FC,Sunderland AFC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,2.1,1.727,2.2,1.7,4.651,1.0
61300743,Leeds United,Aston Villa,England - Premier League,2025-11-23 22:00:00+08:00,2025-11-11 21:55:56,2.1,1.727,1.08,1.25,1.0,1.0
61300745,Liverpool FC,Nottingham Forest,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.571,2.375,1.6,2.38,1.829,1.0
61300749,Newcastle United,Manchester City,England - Premier League,2025-11-23 01:30:00+08:00,2025-11-11 21:55:56,1.666,2.2,1.7,2.22,2.02,1.0
61300751,Wolverhampton Wanderers,Crystal Palace,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,2.0,1.8,1.07,1.25,1.0,1.0
63887879,Manchester United,Everton FC,England - Premier League,2025-11-25 04:00:00+08:00,2025-11-11 21:55:56,1.727,2.1,1.64,2.1,1.0,1.0
