event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds_1.5,Bet365_under_odds_1.5,Betfair_Exchange_over_odds_1.5,Betfair_Exchange_under_odds_1.5,Over RPD,Under RPD
61300733,AFC Bournemouth,West Ham United,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.222,4.333,1.05,1.25,1.0,1.0
61300735,Arsenal FC,Tottenham Hotspur,England - Premier League,2025-11-24 00:30:00+08:00,2025-11-11 21:55:56,1.222,4.333,1.2,3.83,1.0,1.0
61300737,Brighton & Hove Albion,Brentford FC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.222,4.333,1.05,2.28,1.0,1.0
61300739,Burnley FC,Chelsea FC,England - Premier League,2025-11-22 20:30:00+08:00,2025-11-11 21:55:56,1.25,4.0,1.06,1.26,1.0,1.0
61300741,Fulham FC,Sunderland AFC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.363,3.2,1.34,2.72,1.0,1.0
61300743,Leeds United,Aston Villa,England - Premier League,2025-11-23 22:00:00+08:00,2025-11-11 21:55:56,1.363,3.2,1.08,1.25,1.0,1.0
61300745,Liverpool FC,Nottingham Forest,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.166,5.0,1.17,3.49,1.0,1.0
61300749,Newcastle United,Manchester City,England - Premier League,2025-11-23 01:30:00+08:00,2025-11-11 21:55:56,1.2,4.5,1.19,3.49,1.0,1.0
61300751,Wolverhampton Wanderers,Crystal Palace,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,1.333,3.4,1.07,1.25,1.0,1.0
63887879,Manchester United,Everton FC,England - Premier League,2025-11-25 04:00:00+08:00,2025-11-11 21:55:56,1.222,4.333,1.22,3.09,1.0,1.0
